你好，很高兴见到你。	hello , nice to meet you .
早上好，你吃早饭了吗？	good morning , have you had breakfast ?
今天天气很好。	the weather is nice today .
外面在下雨，记得带伞。	it is raining outside , remember to take an umbrella .
你从哪里来？	where are you from ?
我来自中国。	i am from china .
请问洗手间在哪里？	excuse me , where is the bathroom ?
往前走，然后左转。	go straight ahead , then turn left .
这张票多少钱？	how much is this ticket ?
太贵了，能便宜一点吗？	it is too expensive , can it be cheaper ?
我想去火车站。	i want to go to the train station .
公交车十分钟后到。	the bus arrives in ten minutes .
我们今晚去看电影吧。	let us watch a movie tonight .
这家餐厅的菜很好吃。	the food in this restaurant is delicious .
请给我一杯咖啡。	please give me a cup of coffee .
我对牛奶过敏。	i am allergic to milk .
这附近有超市吗？	is there a supermarket nearby ?
我找不到我的钥匙。	i cannot find my key .
你能帮我一个忙吗？	can you do me a favor ?
抱歉，我迟到了。	sorry , i am late .
没关系，我们还有时间。	never mind , we still have time .
你周末有什么计划？	what is your plan for the weekend ?
我打算在家休息。	i plan to rest at home .
明天早上八点开会。	the meeting is at eight tomorrow morning .
请把报告发给我。	please send me the report .
这个项目什么时候完成？	when will this project be finished ?
我会尽快回复你。	i will reply to you as soon as possible .
请稍等一会儿。	please wait a moment .
我需要更多时间。	i need more time .
这个问题很难。	this problem is very difficult .
让我想一想。	let me think about it .
你的建议很好。	your suggestion is very good .
我同意你的看法。	i agree with you .
我不同意这个方案。	i do not agree with this plan .
我们应该早点出发。	we should leave earlier .
火车晚点了。	the train is late .
我昨天感冒了。	i caught a cold yesterday .
你需要去看医生。	you need to see a doctor .
多喝水，早点休息。	drink more water and rest early .
我现在感觉好多了。	i feel much better now .
这本书很有意思。	this book is very interesting .
我在学习中文。	i am learning chinese .
你能说慢一点吗？	can you speak more slowly ?
这个字怎么读？	how do you read this character ?
我每天练习一个小时。	i practice for an hour every day .
学习一门语言需要耐心。	learning a language takes patience .
恭喜你，你进步很大。	congratulations , you have made great progress .
祝你生日快乐。	happy birthday to you .
谢谢你的帮助。	thank you for your help .
不用谢。	you are welcome .
对不起，我不明白。	sorry , i do not understand .
请再说一遍。	please say it again .
这里可以刷卡吗？	can i pay by card here ?
我要结账。	i would like to pay the bill .
这件衣服有点小。	this dress is a little small .
有大一号的吗？	do you have a larger size ?
我买了两张电影票。	i bought two movie tickets .
电影几点开始？	what time does the movie start ?
我们在门口等你。	we will wait for you at the gate .
路上堵车了。	there was a traffic jam on the way .
请系好安全带。	please fasten your seat belt .
飞机晚点两个小时。	the flight is delayed by two hours .
我订了一间双人房。	i booked a double room .
房间里没有热水。	there is no hot water in the room .
我想换个房间。	i want to change to another room .
请问怎么连无线网？	excuse me , how do i connect to the wifi ?
密码是多少？	what is the password ?
我的手机没电了。	my phone is out of battery .
你能借我充电器吗？	can you lend me a charger ?
我在等一个电话。	i am waiting for a phone call .
请给我留个口信。	please leave me a message .
这个周末你有空吗？	are you free this weekend ?
我们一起去爬山吧。	let us go hiking together .
听说山上风景很美。	i heard the view on the mountain is beautiful .
记得带水和食物。	remember to bring water and food .
太阳快下山了。	the sun is setting soon .
我们该回家了。	we should go home now .
孩子已经睡着了。	the child is already asleep .
请小声一点。	please be quiet .
明天见。	see you tomorrow .
